date,city,prcp,snow,tmax,tmin
2011-09-15,Kansas City,0,0,NA,NA
2015-04-26,Kansas City,NA,0,17.8,9.4
2016-06-19,Kansas City,0,0,NA,22.8
2016-06-20,Kansas City,0,0,NA,NA
2016-12-16,Kansas City,NA,0,0.6,-2.7
2016-12-22,Kansas City,0,0,NA,-3.2
2017-03-07,Kansas City,0,0,16.1,NA
2017-04-30,Kansas City,3,0,NA,NA
2017-05-01,Kansas City,0,0,16.7,NA
2017-06-08,Kansas City,0,0,28.9,NA
2017-07-27,Kansas City,47.5,0,NA,23.3
2017-07-28,Kansas City,0,0,30,NA
2018-08-14,Kansas City,NA,0,31.7,23.3
2018-08-15,Kansas City,NA,0,30,22.8
2018-08-16,Kansas City,NA,0,33.3,22.2
2018-08-28,Kansas City,NA,0,35.6,NA
2018-09-28,Kansas City,NA,0,19.4,10
2018-10-12,Kansas City,NA,0,9.4,7.2
2018-11-08,Kansas City,NA,0,3.3,-1
2010-05-10,Tucson,0,0,NA,15
2010-05-11,Tucson,0,0,28.9,NA
